X,Y
168,849
216.833,844.5
252.833,847.167
210.167,91.5
254.167,833.833
252.3739,828.00634
250.5808,822.17969
248.833,816.34623
248.833,810.24991
248.833,804.1536
248.833,798.05728
248.3015,791.98507
247.7497,785.91378
247.1979,779.84249
246.6461,773.7712
246.2991,767.70754
247.3013,761.69417
248.3035,755.6808
249.3058,749.66743
250.167,743.6424
250.167,737.54608
250.167,731.44977
250.167,725.35345
250.167,719.25713
250.167,713.16082
250.167,707.0645
250.167,700.96819
250.167,694.87187
250.2329,688.77762
250.6131,682.69317
250.9933,676.60872
251.3735,670.52427
251.5,664.4319
251.5,658.33559
251.5,652.23927
251.5,646.14296
251.5,640.04664
251.5,633.95033
251.5,627.85401
251.5,621.7577
251.5,615.66138
251.5,609.56507
251.5,603.46875
251.5,597.37243
251.5,591.27612
251.5,585.1798
251.5,579.08349
251.333,572.99115
251.0431,566.90173
250.7532,560.81231
250.4633,554.72289
250.1734,548.63347
249.8268,542.54702
249.479,536.46064
249.1311,530.37425
248.7833,524.28787
248.4355,518.20149
248.0876,512.1151
247.7398,506.02872
247.5,499.93925
247.5,493.84293
247.5,487.74662
247.5,481.6503
247.5,475.55399
247.3714,469.45956
247.1922,463.36588
247.013,457.2722
246.8339,451.17852
246.6547,445.08484
246.4755,438.99116
246.2963,432.89747
246.2562,426.8054
246.5765,420.71751
246.8968,414.62962
247.2172,408.54172
247.5,402.45284
247.5,396.35653
247.5,390.26021
247.5,384.1639
247.5,378.06758
247.5,371.97127
247.5,365.87495
247.5,359.77864
247.5,353.68232
247.5,347.58601
247.5,341.48969
247.5,335.39338
247.5,329.29706
247.5,323.20075
247.5,317.10443
247.5,311.00812
247.5,304.9118
247.5,298.81549
246.8386,292.76213
246.0501,286.71702
245.2615,280.67191
244.473,274.62681
243.6845,268.5817
243.241,262.50455
242.903,256.41762
242.5649,250.33069
242.2268,244.24375
242.167,238.1491
242.167,232.05278
242.167,225.95647
242.167,219.86015
242.167,213.76384
242.167,207.66752
242.167,201.57121
242.167,195.47489
242.167,189.37857
242.167,183.28226
241.8237,177.21155
240.9194,171.18268
240.0151,165.15381
239.1108,159.12494
238.2065,153.09607
238.167,147.0027
238.167,140.90638
238.167,134.81006
238.167,128.71375
237.2789,122.80322
234.8352,117.21812
232.3915,111.63301
229.9478,106.0479
226.0444,101.70724
220.9163,98.41052
215.7883,95.11381
210.6602,91.8171
204.8216,92.83624
198.9072,94.31468
192.9929,95.79312
188.0683,98.47177
185.4903,103.99618
182.9123,109.52059
180.3344,115.04501
178.6914,120.87615
177.4958,126.85408
176.3002,132.83201
175.1686,138.82166
174.1664,144.83504
173.1642,150.84842
172.1621,156.8618
171.1599,162.87518
170.167,168.88932
170.167,174.98564
170.167,181.08195
170.167,187.17827
170.167,193.27458
170.167,199.3709
170.167,205.46721
170.167,211.56353
170.167,217.65985
170.167,223.75616
170.167,229.85248
170.167,235.94879
170.167,242.04511
170.167,248.14142
170.1602,254.23741
169.573,260.30538
168.9857,266.37334
168.3985,272.44131
167.8113,278.50928
167.224,284.57724
166.6368,290.64521
166.167,296.71885
166.167,302.81516
166.167,308.91148
166.167,315.00779
166.167,321.10411
166.167,327.20042
166.167,333.29674
166.167,339.39305
166.167,345.48937
166.167,351.58568
166.167,357.682
166.167,363.77831
166.167,369.87463
166.161,375.97081
165.8961,382.06137
165.6311,388.15192
165.3662,394.24248
165.1013,400.33304
164.8363,406.42359
164.833,412.51984
164.833,418.61615
164.833,424.71247
164.959,430.80394
165.4268,436.88228
165.8946,442.96062
165.497,448.95674
163.893,454.83826
162.289,460.71977
162.7889,466.76532
163.4619,472.82437
163.8022,478.91063
164.1226,484.99852
164.4429,491.08641
164.7632,497.17431
164.833,503.26879
164.833,509.3651
164.833,515.46142
164.833,521.55773
164.833,527.65405
164.833,533.75037
164.8344,539.84661
165.441,545.91267
166.0477,551.97872
166.6544,558.04477
167.2611,564.11083
167.5,570.19522
167.5,576.29154
167.5,582.38785
167.5,588.48417
167.5,594.58049
167.5,600.6768
167.5,606.77312
167.5,612.86943
167.5,618.96575
167.5,625.06206
167.5,631.15838
167.5,637.25469
167.5,643.35101
167.5,649.44732
168.0643,655.50048
168.9913,661.5259
169.9184,667.55131
170.6882,673.59807
171.4003,679.65264
172.1125,685.70722
172.8246,691.7618
173.6293,697.80476
174.4351,703.84759
175.241,709.89041
176.2189,715.90659
177.2783,721.91014
178.3377,727.9137
179.3972,733.91725
178.165,739.84022
176.6865,745.75453
175.208,751.66885
174.167,757.63701
174.167,763.73333
174.167,769.82965
174.167,775.92596
174.167,782.02228
174.167,788.11859
174.167,794.21491
174.167,800.31122
174.167,806.40754
174.167,812.50385
174.1453,818.59778
172.8226,824.54889
171.5,830.5
