x,y
624.5,352.167
630.167,354.5
635.833,354.167
630.167,319.5
635.167,348.833
635.4057,348.5345
635.6445,348.236
635.8832,347.9376
636.122,347.6391
636.3607,347.3406
636.5995,347.0421
636.8382,346.7436
637.077,346.4452
637.3157,346.1467
637.5545,345.8482
637.7932,345.5497
638.0582,345.2748
638.3285,345.0045
638.5988,344.7342
638.869,344.464
639.1393,344.1937
639.4096,343.9234
639.6799,343.6531
639.9501,343.3829
640.2204,343.1126
640.4907,342.8423
640.8668,342.7923
641.2466,342.7501
641.6265,342.708
642.0064,342.6658
642.3863,342.6236
642.7662,342.5815
643.1461,342.5393
643.5045,342.4743
643.571,342.0979
643.6374,341.7215
643.7038,341.3451
643.7702,340.9687
643.8366,340.5923
643.9031,340.2159
643.9695,339.8395
644.0359,339.4631
644.1023,339.0867
644.1687,338.7103
644.2352,338.3339
644.3016,337.9575
644.368,337.5811
644.4344,337.2047
644.5007,336.8282
644.5574,336.4503
644.6141,336.0723
644.6708,335.6943
644.7275,335.3163
644.7842,334.9383
644.8409,334.5603
644.8976,334.1823
644.9543,333.8043
645.011,333.4264
645.0678,333.0484
645.1245,332.6704
645.1812,332.2924
645.2379,331.9144
645.2946,331.5364
645.3513,331.1584
645.408,330.7804
645.4647,330.4025
645.4809,330.0241
645.4304,329.6453
645.3799,329.2664
645.3293,328.8876
645.2788,328.5087
645.2282,328.1298
645.1777,327.751
645.1272,327.3721
645.0766,326.9932
645.0261,326.6144
644.9755,326.2355
644.925,325.8567
644.8745,325.4778
644.7692,325.1415
644.4144,324.9995
644.0595,324.8576
643.7046,324.7156
643.3497,324.5737
642.9948,324.4317
642.64,324.2898
642.2851,324.1478
641.9302,324.0059
641.5753,323.8639
641.2204,323.722
640.8656,323.58
640.5107,323.4381
640.1558,323.2961
639.8026,323.1506
639.4661,322.9694
639.1296,322.7881
638.7931,322.6068
638.4566,322.4256
638.1201,322.2443
637.7836,322.0631
637.4471,321.8818
637.1106,321.7005
636.7741,321.5193
636.4375,321.338
636.101,321.1568
635.7645,320.9755
635.4207,320.8132
635.0499,320.7205
634.6791,320.6278
634.3083,320.5351
633.9375,320.4424
633.5667,320.3498
633.1958,320.2571
632.825,320.1644
632.4542,320.0717
632.0834,319.979
631.7126,319.8863
631.3418,319.7936
630.971,319.701
630.6002,319.6083
630.2294,319.5156
629.8826,319.3578
629.5408,319.1869
629.1989,319.016
628.857,318.845
628.5152,318.6741
628.1733,318.5032
627.8314,318.3322
627.4896,318.1613
627.1477,317.9904
626.8058,317.8194
626.464,317.6485
626.1221,317.4776
625.7802,317.3066
625.4384,317.1357
625.0965,316.9648
624.7469,316.8169
624.3712,316.7464
623.9956,316.676
623.6199,316.6055
623.2442,316.5351
622.8686,316.4646
622.4929,316.3942
622.1172,316.3238
621.7415,316.2533
621.3659,316.1829
620.9902,316.1124
620.6145,316.042
620.2389,315.9715
619.8632,315.9011
619.4873,315.833
619.1051,315.833
618.7229,315.833
618.3407,315.833
617.9584,315.833
617.5762,315.833
617.194,315.833
616.8118,315.833
616.4296,315.833
616.0473,315.833
615.6651,315.833
615.2829,315.833
614.9007,315.833
614.6502,316.089
614.4281,316.4
614.2059,316.711
613.9838,317.0221
613.7617,317.3331
613.5395,317.6442
613.3174,317.9552
613.0953,318.2662
612.8731,318.5773
612.651,318.8883
612.4289,319.1994
612.2067,319.5104
611.9846,319.8214
611.7625,320.1325
611.5403,320.4435
611.6069,320.794
611.7375,321.1532
611.868,321.5124
611.9986,321.8717
612.1292,322.2309
612.2598,322.5901
612.3904,322.9493
612.5209,323.3085
612.6515,323.6678
612.7821,324.027
612.9249,324.3814
613.0754,324.7327
613.226,325.084
613.3766,325.4353
613.5271,325.7866
613.6777,326.1379
613.8283,326.4893
613.9788,326.8406
614.1294,327.1919
614.2799,327.5432
614.4305,327.8945
614.5811,328.2458
614.7316,328.5971
614.8822,328.9484
615.0328,329.2998
615.1833,329.6511
615.3339,330.0024
615.4844,330.3537
615.635,330.705
615.7856,331.0563
615.9948,331.3728
616.2309,331.6734
616.4671,331.9739
616.7033,332.2744
616.9395,332.5749
617.1757,332.8754
617.4118,333.1759
617.648,333.4765
617.8842,333.777
618.1204,334.0775
618.3565,334.378
618.5927,334.6785
618.8289,334.9791
619.0651,335.2796
619.3012,335.5801
619.5202,335.8901
619.6474,336.2505
619.7746,336.611
619.9018,336.9714
620.029,337.3318
620.1562,337.6922
620.2834,338.0527
620.4106,338.4131
620.5378,338.7735
620.665,339.134
620.7922,339.4944
620.9194,339.8548
621.0466,340.2153
621.1738,340.5757
621.301,340.9361
621.4282,341.2965
621.5704,341.6509
621.732,341.9972
621.8936,342.3436
622.0552,342.69
622.2168,343.0363
622.3785,343.3827
622.5401,343.7291
622.7017,344.0754
622.8633,344.4218
623.0249,344.7682
623.1865,345.1145
623.3482,345.4609
623.5098,345.8073
623.6714,346.1536
623.833,346.5
