X,Y
567.833,335.833
574.5,339.5
582.5,338.5
577.833,303.167
582.5,334.5
582.6027,334.1577
582.7054,333.8153
582.8081,333.473
582.9108,333.1307
583.0135,332.7884
583.1163,332.446
583.219,332.1037
583.3217,331.7614
583.4244,331.4191
583.5523,331.0886
583.7505,330.7912
583.9488,330.4938
584.147,330.1965
584.3453,329.8991
584.5435,329.6017
584.7418,329.3043
584.94,329.0069
585.1383,328.7096
585.3365,328.4122
585.5267,328.1103
585.6789,327.7869
585.8311,327.4635
585.9833,327.1401
586.1355,326.8167
586.2877,326.4933
586.4398,326.17
586.592,325.8466
586.7442,325.5232
586.8964,325.1998
587.0486,324.8764
587.2008,324.5531
587.353,324.2297
587.5052,323.9063
587.6574,323.5829
587.8095,323.2595
587.9617,322.9362
588.1139,322.6128
588.2843,322.2989
588.4643,321.9902
588.6444,321.6815
588.8245,321.3728
589.0045,321.064
589.1846,320.7553
589.3647,320.4466
589.5447,320.1378
589.7248,319.8291
589.9049,319.5204
590.0849,319.2117
590.265,318.9029
590.4451,318.5942
590.6856,318.335
590.9527,318.0975
591.2198,317.8601
591.4869,317.6226
591.7541,317.3851
592.0212,317.1477
592.2883,316.9102
592.5554,316.6728
592.8225,316.4353
593.0896,316.1978
593.3567,315.9604
593.5288,315.6698
593.5909,315.3179
593.653,314.9659
593.7152,314.6139
593.7773,314.262
593.8394,313.91
593.9015,313.5581
593.9636,313.2061
594.0257,312.8541
594.0879,312.5022
594.15,312.1502
594.2121,311.7982
594.2742,311.4463
594.3363,311.0943
594.3985,310.7423
594.4606,310.3904
594.4486,310.047
594.3078,309.7185
594.167,309.39
594.0262,309.0615
593.8855,308.733
593.7447,308.4044
593.6039,308.0759
593.4631,307.7474
593.3223,307.4189
593.1816,307.0904
593.0408,306.7619
592.9,306.4334
592.7592,306.1049
592.6184,305.7764
592.4462,305.4821
592.1071,305.3691
591.7681,305.2561
591.429,305.1431
591.0899,305.0301
590.7508,304.9171
590.4118,304.8041
590.0727,304.6911
589.7336,304.5781
589.3946,304.4651
589.0555,304.3521
588.7164,304.2391
588.3716,304.1519
588.0166,304.1101
587.6617,304.0683
587.3067,304.0266
586.9518,303.9848
586.5968,303.943
586.2419,303.9012
585.8869,303.8594
585.532,303.8177
585.177,303.7759
584.8221,303.7341
584.4671,303.6923
584.1122,303.6506
583.7572,303.6088
583.4023,303.567
583.0473,303.5252
582.6917,303.4906
582.3351,303.4668
581.9785,303.4431
581.6219,303.4193
581.2653,303.3956
580.9086,303.3718
580.552,303.3481
580.1954,303.3243
579.8388,303.3006
579.4822,303.2768
579.1256,303.2531
578.769,303.2293
578.4123,303.2056
578.0557,303.1818
577.7018,303.1951
577.3523,303.27
577.0029,303.3449
576.6534,303.4198
576.3039,303.4947
575.9545,303.5696
575.605,303.6445
575.2555,303.7194
574.9061,303.7943
574.5566,303.8692
574.2071,303.9441
573.8577,304.019
573.5082,304.0939
573.1589,304.1694
572.8166,304.2721
572.4742,304.3748
572.1319,304.4775
571.7896,304.5801
571.4472,304.6828
571.1049,304.7855
570.7626,304.8882
570.4202,304.9909
570.0779,305.0935
569.7395,305.2071
569.411,305.3479
569.0825,305.4887
568.754,305.6295
568.4255,305.7703
568.097,305.9111
567.7685,306.0519
567.44,306.1927
567.1115,306.3335
566.783,306.4743
566.4545,306.6151
566.126,306.7559
565.7975,306.8967
565.469,307.0375
565.1522,307.1917
564.9683,307.4982
564.7844,307.8046
564.6005,308.1111
564.4166,308.4176
564.2327,308.724
564.0488,309.0305
563.8649,309.3369
563.681,309.6434
563.4971,309.9499
563.3132,310.2563
563.1372,310.5669
562.992,310.8935
562.8468,311.22
562.7016,311.5466
562.5564,311.8732
562.4112,312.1998
562.266,312.5263
562.1207,312.8529
561.9755,313.1795
561.8336,313.5066
561.866,313.8625
561.8984,314.2185
561.9309,314.5744
561.9633,314.9303
561.9957,315.2862
562.0281,315.6422
562.0605,315.9981
562.093,316.354
562.1254,316.71
562.1578,317.0659
562.3268,317.3668
562.5501,317.6459
562.7733,317.925
562.9966,318.2041
563.2198,318.4832
563.4431,318.7623
563.6663,319.0414
563.8896,319.3205
564.1128,319.5996
564.3361,319.8787
564.5593,320.1578
564.7825,320.4369
564.9815,320.7334
565.1734,321.0349
565.3654,321.3364
565.5573,321.6379
565.7492,321.9394
565.9411,322.2409
566.133,322.5424
566.3249,322.8439
566.5168,323.1455
566.7087,323.447
566.9006,323.7485
567.0925,324.05
567.2128,324.3808
567.2877,324.7303
567.3626,325.0798
567.4375,325.4292
567.5124,325.7787
567.5873,326.1282
567.6622,326.4776
567.7371,326.8271
567.812,327.1766
567.8869,327.526
567.9618,327.8755
568.0367,328.225
568.1116,328.5744
568.167,328.926
568.167,329.2834
568.167,329.6408
568.167,329.9982
568.167,330.3556
568.167,330.713
568.167,331.0704
568.167,331.4278
568.167,331.7852
568.167,332.1426
568.167,332.5
