X,Y
323,314
340.167,313.5
353.5,313.5
315.5,129.5
353.5,300.167
353.2829,298.6472
353.0658,297.1274
352.8487,295.6076
352.6315,294.0878
352.4144,292.568
352.1973,291.0482
351.9802,289.5284
351.7631,288.0086
351.546,286.4888
351.4474,284.958
351.3807,283.4242
351.314,281.8905
351.2473,280.3567
351.1805,278.8229
351.1138,277.2891
351.0471,275.7554
350.9804,274.2216
350.9137,272.6878
350.847,271.154
351.106,269.6502
351.4512,268.1543
351.7964,266.6584
352.1417,265.1625
352.4869,263.6666
352.8321,262.1707
353.4221,260.7534
354.0127,259.3363
354.6033,257.9192
355.1938,256.5021
355.7844,255.085
355.8671,253.7172
355.0155,252.4398
354.1639,251.1624
353.3123,249.885
352.4607,248.6076
352.2297,247.1633
352.3253,245.631
352.421,244.0988
352.5167,242.5666
352.6123,241.0343
352.708,239.5021
352.8037,237.9698
353.498,236.6688
354.4571,235.47
355.4162,234.2713
356.3753,233.0725
357.3344,231.8737
358.0374,230.6775
357.0546,229.4981
356.0718,228.3187
355.0889,227.1393
354.1061,225.9599
353.1233,224.7805
352.1404,223.6011
351.1576,222.4217
350.1748,221.2423
349.192,220.063
348.2091,218.8836
348.167,217.3636
348.167,215.8284
348.167,214.2931
348.167,212.7579
348.167,211.2227
348.167,209.6875
348.167,208.1522
348.0791,206.6214
347.9264,205.0938
347.7736,203.5662
347.6209,202.0386
347.4681,200.511
347.3153,198.9834
347.1626,197.4558
347.0098,195.9281
346.8571,194.4005
346.7043,192.8729
346.5515,191.3453
346.3988,189.8177
346.246,188.2901
346.0621,186.7663
345.8449,185.2465
345.6277,183.7267
345.4104,182.2069
345.1932,180.6872
344.976,179.1674
344.833,177.6423
344.833,176.1071
344.833,174.5719
344.833,173.0367
344.833,171.5014
344.833,169.9662
344.833,168.431
344.833,166.8958
344.833,165.3605
344.833,163.8253
344.6125,162.3369
343.989,160.9339
343.3655,159.531
342.7421,158.1281
342.1186,156.7252
341.4951,155.3223
340.8716,153.9193
340.2481,152.5164
339.6247,151.1135
338.6314,149.9645
337.5458,148.8791
336.4601,147.7936
335.3745,146.7081
334.2888,145.6226
333.2032,144.5371
332.1176,143.4516
331.032,142.366
329.9464,141.2804
328.8609,140.1949
327.7753,139.1093
326.6897,138.0237
325.6042,136.9382
324.4712,135.9085
323.222,135.0162
321.9727,134.1238
320.7235,133.2314
319.4743,132.339
318.225,131.4466
316.9758,130.5542
315.7266,129.6619
314.3232,129.0587
312.8858,128.5197
311.4483,127.9807
310.0108,127.4416
308.5733,126.9026
307.1358,126.3635
305.6984,125.8245
304.5598,126.0465
303.8733,127.4197
303.1868,128.7929
302.5004,130.1661
302.3585,131.5991
302.7308,133.0885
303.1031,134.5779
303.4754,136.0673
303.8477,137.5567
304.22,139.0461
304.5923,140.5355
304.9646,142.0249
305.3369,143.5143
305.5,145.0295
305.5,146.5647
305.5,148.0999
305.5,149.6351
305.5,151.1704
305.5,152.7056
305.5,154.2408
305.5,155.776
305.5,157.3113
305.5,158.8465
305.5764,160.3784
305.7093,161.9079
305.8423,163.4373
305.9753,164.9668
306.1082,166.4962
306.2412,168.0257
306.3742,169.5551
306.5071,171.0846
306.6401,172.6141
306.7731,174.1435
306.9003,175.6734
307.0228,177.2038
307.1452,178.7341
307.2677,180.2644
307.3902,181.7948
307.5127,183.3251
307.6352,184.8554
307.7577,186.3858
307.8802,187.9161
308.0026,189.4464
308.1251,190.9768
308.2746,192.5046
308.4382,194.0311
308.6017,195.5575
308.7653,197.084
308.9288,198.6105
309.0924,200.137
309.2559,201.6635
309.4195,203.19
309.583,204.7165
309.7466,206.243
309.9101,207.7695
310.0737,209.2959
310.3405,210.803
310.7444,212.2841
311.1484,213.7652
311.5523,215.2463
311.9563,216.7275
312.0229,218.2202
311.7217,219.7256
311.4205,221.231
311.1193,222.7364
310.8297,224.2432
310.7631,225.7769
310.6965,227.3107
310.6298,228.8445
310.5632,230.3783
310.4966,231.912
310.43,233.4458
310.3633,234.9796
310.2967,236.5134
310.2301,238.0472
310.0945,239.5362
308.7213,240.2226
307.5346,240.9993
307.8477,242.5023
308.1608,244.0053
308.4739,245.5082
308.787,247.0112
309.1001,248.5141
309.4132,250.0171
309.7262,251.5201
310.0393,253.023
310.3524,254.526
310.6655,256.0289
310.8726,257.5458
310.9578,259.0787
311.043,260.6115
311.1282,262.1444
311.2134,263.6773
311.2986,265.2101
311.3838,266.743
311.469,268.2758
311.7453,269.7789
312.1306,271.265
312.5159,272.7511
312.9012,274.2372
313.2865,275.7233
313.6718,277.2094
314.0571,278.6954
314.4424,280.1815
314.8277,281.6676
315.213,283.1537
315.5983,284.6398
315.9837,286.1259
316.4972,287.5668
317.1272,288.9669
317.7572,290.3669
318.3871,291.7669
319.0171,293.1669
319.6471,294.5669
320.2771,295.9669
320.907,297.367
321.537,298.767
322.167,300.167
