specimen,genus,species,family,ornamentation
gonimp_inat1_1_mat,goniocidaris,impressa,cidaridae,coarse thorn rows
gonimp_inat1_2_mat,goniocidaris,impressa,cidaridae,coarse thorn rows
gonimp_inat1_3_mat,goniocidaris,impressa,cidaridae,coarse thorn rows
gontub_inat1_1_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat2_1_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat3_1_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat3_2_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat3_3_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat3_4_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
gontub_inat3_5_mat,goniocidaris,tubaria,cidaridae,coarse thorn rows
PhyllaDub_gbif_1_mat,phyllacanthus,dubius,cidaridae,beaded ridges
phyllaimp_inat4_1_mat,phyllacanthus,imperialis,cidaridae,smooth ridges
phyllaimp_inat4_2_mat,phyllacanthus,imperialis,cidaridae,smooth ridges
phyllaimp_inat4_3_mat,phyllacanthus,imperialis,cidaridae,smooth ridges
phyllaparv_inat1_1_mat,phyllacanthus,parvispinus,cidaridae,beaded ribs
phyllaparv_inat1_2_mat,phyllacanthus,parvispinus,cidaridae,beaded ribs
phyllaparv_inat1_3_mat,phyllacanthus,parvispinus,cidaridae,beaded ribs
toh_ed0_r1s1_mat,tylocidaris,ohshimai,psychocidaridae,coarse thorns
toh_ed1_r1s1_mat,tylocidaris,ohshimai,psychocidaridae,coarse thorns
toh_ed1_r2s2_mat,tylocidaris,ohshimai,psychocidaridae,coarse thorns
toh_ed1_r3s3_mat,tylocidaris,ohshimai,psychocidaridae,coarse thorns
toh_ed1_r4s4_mat,tylocidaris,ohshimai,psychocidaridae,coarse thorns
