X,Y
546,393
560.167,394.833
574.833,392.167
556.833,78.833
575.5,382.833
575.7225,380.38481
575.945,377.93662
576.1676,375.48843
576.3901,373.04024
576.6126,370.59205
576.8339,368.14379
576.9284,365.68732
577.0229,363.23086
577.1175,360.7744
577.212,358.31793
577.3065,355.86147
577.401,353.40501
577.4956,350.94855
577.5901,348.49208
577.6846,346.03562
577.7791,343.57916
577.8737,341.1227
577.9682,338.66623
578.0627,336.20977
578.1573,333.75331
578.167,331.29521
578.167,328.83693
578.167,326.37865
578.167,323.92037
578.167,321.46209
578.167,319.00381
578.167,316.54553
578.167,314.08725
578.167,311.62897
578.167,309.17069
578.167,306.71241
578.167,304.25413
578.167,301.79584
578.167,299.33756
578.167,296.87928
578.1483,294.42143
578.0366,291.96568
577.9249,289.50994
577.8132,287.0542
577.7015,284.59846
577.5899,282.14272
577.5,279.68648
577.5,277.2282
577.5,274.76991
577.5,272.31163
577.5,269.85335
577.5,267.39507
577.5,264.93679
577.5,262.47851
577.5,260.02023
577.5,257.56195
577.5,255.10367
577.5,252.64539
577.5,250.18711
577.5,247.72883
577.5,245.27055
577.5,242.81226
577.5,240.35398
577.5,237.8957
577.5,235.43742
577.5,232.97914
577.5,230.52086
577.5,228.06258
577.4732,225.60494
577.3562,223.14944
577.2392,220.69395
577.1223,218.23845
577.0053,215.78295
576.8883,213.32746
576.7336,210.87431
576.5451,208.42327
576.3566,205.97222
576.1681,203.52118
575.9796,201.07013
575.7912,198.61909
575.6027,196.16805
575.6113,193.71926
575.8559,191.27317
576.1005,188.82709
576.345,186.381
576.5896,183.93491
576.8338,181.4888
577.009,179.03677
577.1843,176.58475
577.3595,174.13272
577.5,171.67945
577.5,169.22117
577.5,166.76289
577.5,164.30461
577.5,161.84633
577.5,159.38805
577.5,156.92977
577.367,154.48013
577.049,152.0425
576.7311,149.60486
576.4131,147.16723
576.0951,144.7296
575.7772,142.29197
575.5,139.85169
575.5,137.39341
575.5,134.93513
575.5,132.47685
575.5,130.01857
575.5,127.56029
575.5,125.10201
575.3592,122.65538
574.955,120.23055
574.5508,117.80573
574.1466,115.3809
573.7425,112.95608
573.3383,110.53125
572.9341,108.10643
572.4142,105.70472
571.8556,103.31073
571.2971,100.91674
570.7386,98.52275
570.1801,96.12875
569.6216,93.73476
569.0631,91.34077
568.5045,88.94677
567.8346,86.58592
566.9943,84.27569
566.1541,81.96546
564.9618,80.08416
562.5321,79.71019
560.1024,79.33622
557.6728,78.96225
555.4435,79.64358
553.3202,80.88231
551.1968,82.12103
549.0734,83.35975
548.4056,85.63764
547.9236,88.0482
547.4416,90.45876
546.9596,92.86933
546.4776,95.27989
546.1233,97.70634
546.0005,100.16155
545.8777,102.61676
545.7549,105.07197
545.6321,107.52718
545.5092,109.98239
544.9486,112.37256
544.3524,114.75744
543.7562,117.14233
543.1599,119.52721
542.5637,121.91209
541.9675,124.29697
541.5171,126.69743
541.5964,129.15443
541.6757,131.61143
541.755,134.06843
541.8343,136.52543
541.9136,138.98243
541.9929,141.43943
542.0722,143.89644
542.1515,146.35344
542.167,148.81147
542.167,151.26975
542.167,153.72803
542.167,156.18631
542.167,158.64459
542.167,161.10287
542.167,163.56115
542.167,166.01943
541.7743,168.4441
541.3565,170.86663
540.9388,173.28915
540.521,175.71167
540.1032,178.13419
539.6855,180.55672
539.2677,182.97924
538.8499,185.40176
538.833,187.85859
538.833,190.31687
538.833,192.77515
538.833,195.23343
538.833,197.69171
538.833,200.15
538.833,202.60828
538.833,205.06656
538.833,207.52484
538.833,209.98312
538.833,212.4414
538.833,214.89968
538.833,217.35796
538.833,219.81624
538.833,222.27452
538.833,224.7328
538.8797,227.18802
539.2005,229.62529
539.5212,232.06255
539.842,234.49982
540.1627,236.93709
540.4835,239.37435
540.8042,241.81162
541.125,244.24888
541.4457,246.68615
541.7665,249.12342
542.0872,251.56068
541.9946,254.00567
541.7652,256.45322
541.5357,258.90077
541.3062,261.34832
541.0768,263.79586
540.8473,266.24341
540.6179,268.69096
540.3884,271.13851
540.167,273.58643
540.167,276.04472
540.167,278.503
540.167,280.96128
540.167,283.41956
540.167,285.87784
540.167,288.33612
540.167,290.7944
540.167,293.25268
540.1815,295.71046
540.3506,298.16292
540.5197,300.61538
540.6888,303.06784
540.8579,305.52029
541.027,307.97275
541.1961,310.42521
541.3652,312.87767
541.5,315.33131
541.5,317.78959
541.5,320.24787
541.5,322.70615
541.5,325.16443
541.5,327.62271
541.5,330.08099
541.5,332.53927
541.5,334.99755
541.5,337.45584
541.5,339.91412
541.5,342.3724
541.5,344.83068
541.5,347.28896
541.5,349.74724
541.8757,352.1706
542.3287,354.58678
542.7818,357.00295
543.2348,359.41913
543.6878,361.8353
544.1409,364.25148
544.5939,366.66765
545.047,369.08383
545.5,371.5
