X,Y
424,310
444.5,314.5
464.5,309.5
432.5,51.5
463.5,288.5
463.4017,286.43586
463.3034,284.37171
463.2051,282.30757
463.1068,280.24343
463.0085,278.17928
462.9102,276.11514
462.812,274.051
462.7137,271.98685
462.6154,269.92271
462.5171,267.85857
462.7698,265.81394
463.0963,263.77341
463.4227,261.73288
463.7492,259.69235
464.0757,257.65182
464.4022,255.61129
464.7287,253.57076
465.0552,251.53024
465.3816,249.48971
465.7081,247.44918
466.0346,245.40865
466.3611,243.36812
466.5,241.31268
466.5,239.2462
466.5,237.17972
466.5,235.11323
466.5,233.04675
466.5,230.98027
466.5,228.91379
466.5,226.84731
466.5,224.78082
466.5,222.71434
466.5,220.64786
466.5483,218.58265
466.6569,216.51902
466.7655,214.45539
466.8741,212.39177
466.9827,210.32814
467.0913,208.26452
467.2,206.20089
467.3086,204.13726
467.4172,202.07364
467.5,200.00933
467.5,197.94285
467.5,195.87637
467.5,193.80989
467.5,191.7434
467.5,189.67692
467.5,187.61044
467.5,185.54396
467.5,183.47748
467.5,181.41099
467.5,179.34451
467.5,177.27803
467.5,175.21155
467.2908,173.16131
466.9718,171.1196
466.6528,169.07789
466.3338,167.03618
466.0148,164.99447
465.6957,162.95276
465.3767,160.91105
465.0577,158.86934
464.7387,156.82763
464.4197,154.78592
464.1007,152.74421
463.7816,150.7025
463.4626,148.6608
463.1436,146.61909
462.8246,144.57738
462.5056,142.53567
462.5,140.46962
462.5,138.40314
462.5,136.33665
462.5,134.27017
462.5,132.20369
462.5,130.13721
462.5,128.07072
462.5,126.00424
462.5,123.93776
462.5,121.87128
462.5,119.80479
462.5,117.73831
462.4133,115.67638
462.197,113.62125
461.9806,111.56612
461.7643,109.511
461.548,107.45587
461.3317,105.40074
461.1153,103.34561
460.899,101.29049
460.6827,99.23536
460.4733,97.17957
460.3017,95.12023
460.1301,93.06089
459.9585,91.00154
459.7868,88.9422
459.6152,86.88285
459.4289,84.82489
459.2126,82.76977
458.9963,80.71464
458.7799,78.65951
458.5636,76.60438
458.3473,74.54925
458.131,72.49413
457.9146,70.439
457.6983,68.38387
457.4114,66.35234
456.3482,64.58034
455.285,62.80835
454.2218,61.03636
453.1586,59.26436
452.0954,57.49237
450.7052,56.05846
448.8988,55.05488
447.0924,54.05131
445.2859,53.04774
443.4795,52.04417
441.554,51.5
439.4875,51.5
437.4211,51.5
435.3546,51.5
433.2881,51.5
431.2254,51.59805
429.165,51.75654
427.1046,51.91503
425.0442,52.07352
422.9838,52.23202
420.9234,52.39051
419.1713,53.04783
418.1081,54.81982
417.0449,56.59182
415.9817,58.36381
414.9185,60.13581
413.8553,61.9078
413.402,63.87237
413.2547,65.9336
413.1075,67.99483
412.9603,70.05606
412.8131,72.11729
412.6658,74.17852
412.5186,76.23975
412.5,78.30557
412.5,80.37205
412.5,82.43854
412.5,84.50502
412.5,86.5715
412.5,88.63798
412.5,90.70446
412.5,92.77095
412.5,94.83743
412.256,96.88255
411.8969,98.91759
411.5378,100.95262
411.1786,102.98766
410.8195,105.0227
410.4604,107.05774
410.1013,109.09278
409.7422,111.12781
409.5,113.17309
409.5,115.23958
409.5,117.30606
409.5,119.37254
409.5,121.43902
409.5,123.5055
409.5,125.57199
409.5,127.63847
409.5,129.70495
409.5,131.77143
409.5,133.83792
409.5,135.9044
409.5,137.97088
409.5,140.03736
409.5,142.10385
409.5,144.17033
409.5,146.23681
409.5,148.30329
409.5,150.36977
409.6265,152.42767
409.9057,154.4752
410.1849,156.52274
410.4641,158.57027
410.7433,160.6178
411.0225,162.66534
411.3018,164.71287
411.581,166.7604
411.8602,168.80793
412.1394,170.85547
412.4186,172.903
412.5812,174.9617
412.6958,177.025
412.8105,179.08831
412.9251,181.15161
413.0397,183.21491
413.1543,185.27821
413.269,187.34151
413.3836,189.40481
413.4982,191.46811
413.6353,193.53004
413.7728,195.59194
413.9103,197.65385
414.0477,199.71575
414.1852,201.77766
414.3226,203.83956
414.4601,205.90147
414.5976,207.96337
414.735,210.02528
414.8725,212.08718
415.0099,214.14909
415.1474,216.21099
415.2849,218.2729
415.4223,220.33481
415.6973,222.37678
416.1509,224.39286
416.6045,226.40894
417.0581,228.42502
417.5117,230.4411
417.9654,232.45718
418.419,234.47326
418.8726,236.48934
419.3262,238.50542
419.7798,240.5215
420.2335,242.53758
420.6871,244.55366
421.1407,246.56974
421.5943,248.58583
422.0479,250.60191
422.5015,252.61799
422.9552,254.63407
423.4088,256.65015
423.8624,258.66623
424.316,260.68231
424.7135,262.70966
425.0726,264.74469
425.4317,266.77973
425.7908,268.81477
426.15,270.84981
426.5091,272.88484
426.8682,274.91988
427.2273,276.95492
427.4708,278.99667
427.3494,281.05959
427.2281,283.1225
427.1067,285.18542
426.9854,287.24833
426.864,289.31125
426.7427,291.37417
426.6213,293.43708
426.5,295.5
