X,Y
108,493
139.5,499.5
174.167,496.833
127.5,26.167
178.167,479.5
180.05078,474.92488
181.93455,470.34976
183.81833,465.77465
185.70211,461.19953
187.69421,456.71824
191.95387,454.20119
196.21354,451.68413
200.47321,449.16707
204.73287,446.65002
208.99254,444.13296
213.2522,441.61591
217.43617,438.99209
221.22083,435.80514
225.00549,432.61819
228.79016,429.43124
232.57482,426.24429
236.35948,423.05734
240.14414,419.87039
243.56607,416.33738
246.57153,412.40704
249.57698,408.4767
252.58243,404.54636
255.58788,400.61602
258.59334,396.68568
259.88156,392.06598
260.42795,387.14848
260.97434,382.23098
261.52072,377.31348
262.06711,372.39599
262.6135,367.47849
263.15989,362.56099
263.699,357.6427
264.2261,352.7231
264.75321,347.8035
265.28031,342.88389
265.80742,337.96429
266.33452,333.04469
266.86163,328.12509
267.38873,323.20549
268.09349,318.30905
268.84578,313.41882
269.59807,308.52859
270.35036,303.63835
271.10264,298.74812
271.85493,293.85789
272.60722,288.96765
270.25912,285.18345
266.58152,281.87353
262.90392,278.5636
259.56786,275.1381
260.47969,270.27509
261.39151,265.41208
262.30334,260.54907
263.21517,255.68605
261.97848,251.12395
259.76577,246.69854
257.55306,242.27313
254.29891,238.66084
250.54235,235.44082
247.63955,231.90272
248.37352,227.0097
249.10749,222.11668
249.84146,217.22367
250.57543,212.33065
251.3094,207.43763
250.55626,202.62775
249.28148,197.84704
248.0067,193.06632
246.73192,188.2856
244.03463,187.91163
240.20524,191.0447
236.37585,194.17776
232.54646,197.31083
232.34366,194.67169
233.50455,189.86205
234.66545,185.05241
235.82635,180.24277
236.98724,175.43313
238.14814,170.62349
239.30904,165.81385
240.46993,161.00421
239.57018,156.34283
237.73269,151.74893
235.8952,147.15503
231.61637,146.167
226.66861,146.167
221.72085,146.167
216.77309,146.167
211.82533,146.167
207.94903,143.20771
204.14813,140.04014
200.34723,136.87256
196.54634,133.70499
196.40513,129.36342
197.65408,124.57588
198.90303,119.78835
200.15197,115.00082
201.40092,110.21329
202.64987,105.42576
203.38746,100.59108
203.03505,95.65589
202.68263,90.72069
202.33021,85.7855
201.24859,81.00738
199.53799,76.36473
197.8274,71.72208
196.1168,67.07943
194.40621,62.43678
192.44103,58.10167
187.56059,57.28827
182.68015,56.47486
177.79971,55.66145
172.91927,54.84805
168.47296,53.44687
166.26037,49.0214
164.04779,44.59593
161.8352,40.17046
159.62262,35.74498
157.41004,31.31951
155.19745,26.89404
151.52683,24.96507
146.58525,25.21227
141.64367,25.45947
136.70209,25.70667
131.76051,25.95387
126.83843,26.33237
122.03837,27.53225
117.2383,28.73214
112.43824,29.93202
107.63818,31.1319
102.83811,32.33178
101.19937,35.69056
101.82858,40.59815
102.45779,45.50573
103.087,50.41332
103.71621,55.32091
104.34542,60.2285
104.97463,65.13609
105.60384,70.04367
106.23305,74.95126
106.86226,79.85885
107.49147,84.76644
102.64359,85.3189
97.72042,85.81147
94.06136,87.53954
93.68169,92.47271
93.30202,97.40588
92.92235,102.33905
92.45662,107.26461
91.96441,112.18783
91.25007,116.70803
86.82466,114.49533
82.39925,112.28262
77.97384,110.06992
74.57093,110.80724
72.46416,115.28405
70.35739,119.76086
68.25062,124.23768
66.14385,128.71449
65.85172,133.06722
68.54824,137.21561
71.24476,141.36399
73.94128,145.51238
76.6378,149.66076
79.33432,153.80915
82.03084,157.95753
77.47351,157.96284
72.53042,157.74781
67.58734,157.53279
62.64425,157.31777
57.70117,157.10275
52.75808,156.88773
49.64153,160.01907
47.14856,164.29287
44.6556,168.56668
42.16919,172.84139
43.4181,177.62893
44.66701,182.41647
45.91592,187.20401
47.16483,191.99156
48.41374,196.7791
49.66265,201.56664
47.22599,203.27383
42.29279,202.89447
37.3596,202.5151
32.74263,202.56466
31.6462,207.3894
30.54976,212.21414
29.45333,217.03889
28.35689,221.86363
27.26045,226.68837
26.167,231.51345
26.167,236.46121
26.167,241.40897
26.167,246.35673
26.167,251.30449
26.12744,256.25121
25.86726,261.19212
25.60708,266.13304
25.3469,271.07395
25.08672,276.01486
24.833,280.95595
24.833,285.90371
24.833,290.85147
24.833,295.79922
24.833,300.74698
24.833,305.69474
24.833,310.6425
24.833,315.59026
24.833,320.53802
24.833,325.48578
24.833,330.43354
24.833,335.3813
24.833,340.32906
25.03488,345.27223
25.25965,350.21488
25.48443,355.15753
25.7092,360.10018
25.93397,365.04283
26.15875,369.98549
26.97672,374.86377
27.81731,379.7396
28.6579,384.61543
29.49849,389.49126
30.33908,394.3671
31.17968,399.24293
32.02027,404.11876
32.93971,408.9575
36.15967,412.71412
39.37963,416.47074
42.59959,420.22735
45.81955,423.98397
49.03951,427.74059
52.25947,431.49721
55.47943,435.25383
59.44381,438.01973
63.94809,440.06713
68.45236,442.11453
72.95664,444.16193
77.46091,446.20932
81.96518,448.25672
86.46946,450.30412
90.97373,452.35151
95.47801,454.39891
99.98228,456.44631
101.40062,460.80594
102.10042,465.70396
102.80021,470.60198
103.5,475.5
